"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48029161304","48029161304","Census Tract 1613.04, Bexar County, Texas","30345"
"1400000US48029161400","48029161400","Census Tract 1614, Bexar County, Texas","61090"
"1400000US48029161501","48029161501","Census Tract 1615.01, Bexar County, Texas","40306"
"1400000US48029161503","48029161503","Census Tract 1615.03, Bexar County, Texas","41417"
"1400000US48029161504","48029161504","Census Tract 1615.04, Bexar County, Texas","37561"
"1400000US48029161600","48029161600","Census Tract 1616, Bexar County, Texas","37979"
"1400000US48029161801","48029161801","Census Tract 1618.01, Bexar County, Texas","50083"
"1400000US48029161802","48029161802","Census Tract 1618.02, Bexar County, Texas","42885"
"1400000US48029161901","48029161901","Census Tract 1619.01, Bexar County, Texas","44271"
"1400000US48029161902","48029161902","Census Tract 1619.02, Bexar County, Texas","53953"
"1400000US48029162001","48029162001","Census Tract 1620.01, Bexar County, Texas","42026"
"1400000US48029162003","48029162003","Census Tract 1620.03, Bexar County, Texas","39545"
"1400000US48029162004","48029162004","Census Tract 1620.04, Bexar County, Texas","41250"
"1400000US48029170101","48029170101","Census Tract 1701.01, Bexar County, Texas","27863"
"1400000US48029170102","48029170102","Census Tract 1701.02, Bexar County, Texas","33958"
"1400000US48029170200","48029170200","Census Tract 1702, Bexar County, Texas","25013"
"1400000US48029170300","48029170300","Census Tract 1703, Bexar County, Texas","22601"
"1400000US48029170401","48029170401","Census Tract 1704.01, Bexar County, Texas","18310"
"1400000US48029170402","48029170402","Census Tract 1704.02, Bexar County, Texas","24722"
"1400000US48029170500","48029170500","Census Tract 1705, Bexar County, Texas","34088"
"1400000US48029170600","48029170600","Census Tract 1706, Bexar County, Texas","35556"
"1400000US48029170700","48029170700","Census Tract 1707, Bexar County, Texas","30183"
"1400000US48029170800","48029170800","Census Tract 1708, Bexar County, Texas","20039"
"1400000US48029170900","48029170900","Census Tract 1709, Bexar County, Texas","21370"
"1400000US48029171000","48029171000","Census Tract 1710, Bexar County, Texas","28519"
"1400000US48029171100","48029171100","Census Tract 1711, Bexar County, Texas","23417"
"1400000US48029171200","48029171200","Census Tract 1712, Bexar County, Texas","28350"
"1400000US48029171301","48029171301","Census Tract 1713.01, Bexar County, Texas","31333"
"1400000US48029171302","48029171302","Census Tract 1713.02, Bexar County, Texas","34583"
"1400000US48029171401","48029171401","Census Tract 1714.01, Bexar County, Texas","32738"
"1400000US48029171402","48029171402","Census Tract 1714.02, Bexar County, Texas","33592"
"1400000US48029171501","48029171501","Census Tract 1715.01, Bexar County, Texas","28531"
"1400000US48029171502","48029171502","Census Tract 1715.02, Bexar County, Texas","25735"
"1400000US48029171601","48029171601","Census Tract 1716.01, Bexar County, Texas","29965"
"1400000US48029171602","48029171602","Census Tract 1716.02, Bexar County, Texas","20469"
"1400000US48029171700","48029171700","Census Tract 1717, Bexar County, Texas","35511"
"1400000US48029171801","48029171801","Census Tract 1718.01, Bexar County, Texas","36139"
"1400000US48029171802","48029171802","Census Tract 1718.02, Bexar County, Texas","29620"
"1400000US48029171902","48029171902","Census Tract 1719.02, Bexar County, Texas","36259"
"1400000US48029171903","48029171903","Census Tract 1719.03, Bexar County, Texas","39991"
"1400000US48029171912","48029171912","Census Tract 1719.12, Bexar County, Texas","88309"
"1400000US48029171913","48029171913","Census Tract 1719.13, Bexar County, Texas","41607"
"1400000US48029171914","48029171914","Census Tract 1719.14, Bexar County, Texas","60864"
"1400000US48029171915","48029171915","Census Tract 1719.15, Bexar County, Texas","71692"
"1400000US48029171916","48029171916","Census Tract 1719.16, Bexar County, Texas","66991"
"1400000US48029171917","48029171917","Census Tract 1719.17, Bexar County, Texas","74828"
"1400000US48029171918","48029171918","Census Tract 1719.18, Bexar County, Texas","77846"
"1400000US48029171919","48029171919","Census Tract 1719.19, Bexar County, Texas","56844"
"1400000US48029171920","48029171920","Census Tract 1719.20, Bexar County, Texas","60813"
